date,actual,forecast_1,forecast_2,forecast_3,forecast_4,forecast_5,forecast_6,forecast_7
2016-01-01,1399765,1422829.0,1031060.0,389120.0,346976.0,309685.0,401804.0,412340.0
2016-01-02,1422829,1031060.0,389120.0,346976.0,309685.0,401804.0,412340.0,865848.0
2016-01-03,1031060,389120.0,346976.0,309685.0,401804.0,412340.0,865848.0,804807.0
2016-01-04,389120,346976.0,309685.0,401804.0,412340.0,865848.0,804807.0,254481.0
2016-01-05,346976,309685.0,401804.0,412340.0,865848.0,804807.0,254481.0,252596.0
2016-01-06,309685,401804.0,412340.0,865848.0,804807.0,254481.0,252596.0,229124.0
2016-01-07,401804,412340.0,865848.0,804807.0,254481.0,252596.0,229124.0,354345.0
2016-01-08,412340,865848.0,804807.0,254481.0,252596.0,229124.0,354345.0,368604.0
2016-01-09,865848,804807.0,254481.0,252596.0,229124.0,354345.0,368604.0,776094.0
2016-01-10,804807,254481.0,252596.0,229124.0,354345.0,368604.0,776094.0,721336.0
2016-01-11,254481,252596.0,229124.0,354345.0,368604.0,776094.0,721336.0,230618.0
2016-01-12,252596,229124.0,354345.0,368604.0,776094.0,721336.0,230618.0,216532.0
2016-01-13,229124,354345.0,368604.0,776094.0,721336.0,230618.0,216532.0,213610.0
2016-01-14,354345,368604.0,776094.0,721336.0,230618.0,216532.0,213610.0,263636.0
2016-01-15,368604,776094.0,721336.0,230618.0,216532.0,213610.0,263636.0,293281.0
2016-01-16,776094,721336.0,230618.0,216532.0,213610.0,263636.0,293281.0,627563.0
2016-01-17,721336,230618.0,216532.0,213610.0,263636.0,293281.0,627563.0,537349.0
2016-01-18,230618,216532.0,213610.0,263636.0,293281.0,627563.0,537349.0,189332.0
2016-01-19,216532,213610.0,263636.0,293281.0,627563.0,537349.0,189332.0,194117.0
2016-01-20,213610,263636.0,293281.0,627563.0,537349.0,189332.0,194117.0,287728.0
2016-01-21,263636,293281.0,627563.0,537349.0,189332.0,194117.0,287728.0,352731.0
2016-01-22,293281,627563.0,537349.0,189332.0,194117.0,287728.0,352731.0,364850.0
2016-01-23,627563,537349.0,189332.0,194117.0,287728.0,352731.0,364850.0,904687.0
2016-01-24,537349,189332.0,194117.0,287728.0,352731.0,364850.0,904687.0,856483.0
2016-01-25,189332,194117.0,287728.0,352731.0,364850.0,904687.0,856483.0,191647.0
2016-01-26,194117,287728.0,352731.0,364850.0,904687.0,856483.0,191647.0,173618.0
2016-01-27,287728,352731.0,364850.0,904687.0,856483.0,191647.0,173618.0,618353.0
2016-01-28,352731,364850.0,904687.0,856483.0,191647.0,173618.0,618353.0,574741.0
2016-01-29,364850,904687.0,856483.0,191647.0,173618.0,618353.0,574741.0,759250.0
2016-01-30,904687,856483.0,191647.0,173618.0,618353.0,574741.0,759250.0,1313234.0
2016-01-31,856483,191647.0,173618.0,618353.0,574741.0,759250.0,1313234.0,1061821.0
2016-02-01,191647,173618.0,618353.0,574741.0,759250.0,1313234.0,1061821.0,1250986.0
2016-02-02,173618,618353.0,574741.0,759250.0,1313234.0,1061821.0,1250986.0,1651783.0
2016-02-03,618353,574741.0,759250.0,1313234.0,1061821.0,1250986.0,1651783.0,1374687.0
2016-02-04,574741,759250.0,1313234.0,1061821.0,1250986.0,1651783.0,1374687.0,437116.0
2016-02-05,759250,1313234.0,1061821.0,1250986.0,1651783.0,1374687.0,437116.0,423097.0
2016-02-06,1313234,1061821.0,1250986.0,1651783.0,1374687.0,437116.0,423097.0,895866.0
2016-02-07,1061821,1250986.0,1651783.0,1374687.0,437116.0,423097.0,895866.0,842408.0
2016-02-08,1250986,1651783.0,1374687.0,437116.0,423097.0,895866.0,842408.0,248749.0
2016-02-09,1651783,1374687.0,437116.0,423097.0,895866.0,842408.0,248749.0,311443.0
2016-02-10,1374687,437116.0,423097.0,895866.0,842408.0,248749.0,311443.0,521689.0
2016-02-11,437116,423097.0,895866.0,842408.0,248749.0,311443.0,521689.0,486704.0
2016-02-12,423097,895866.0,842408.0,248749.0,311443.0,521689.0,486704.0,542126.0
2016-02-13,895866,842408.0,248749.0,311443.0,521689.0,486704.0,542126.0,1035603.0
2016-02-14,842408,248749.0,311443.0,521689.0,486704.0,542126.0,1035603.0,953323.0
