movieCd,movieNm,openDt,date,D_D,audiCnt
20068576,그날의 분위기,2016-01-14,2016-01-28,14,4229
20068576,그날의 분위기,2016-01-14,2016-01-31,17,6317
20068576,그날의 분위기,2016-01-14,2016-01-30,16,6650
20068576,그날의 분위기,2016-01-14,2016-02-01,18,2750
20068576,그날의 분위기,2016-01-14,2016-02-02,19,2573
20068576,그날의 분위기,2016-01-14,2016-01-29,15,4385
20142406,탐정 홍길동: 사라진 마을,2016-05-04,2016-05-30,26,1928
20142406,탐정 홍길동: 사라진 마을,2016-05-04,2016-05-18,14,24174
20142406,탐정 홍길동: 사라진 마을,2016-05-04,2016-05-31,27,1861
20142406,탐정 홍길동: 사라진 마을,2016-05-04,2016-05-19,15,12901
20142406,탐정 홍길동: 사라진 마을,2016-05-04,2016-05-20,16,18396
20142406,탐정 홍길동: 사라진 마을,2016-05-04,2016-05-21,17,34193
20142406,탐정 홍길동: 사라진 마을,2016-05-04,2016-05-29,25,4533
20142406,탐정 홍길동: 사라진 마을,2016-05-04,2016-05-28,24,5806
20142406,탐정 홍길동: 사라진 마을,2016-05-04,2016-05-22,18,30856
20142406,탐정 홍길동: 사라진 마을,2016-05-04,2016-05-27,23,3388
20142406,탐정 홍길동: 사라진 마을,2016-05-04,2016-05-23,19,10054
20142406,탐정 홍길동: 사라진 마을,2016-05-04,2016-05-26,22,2533
20142406,탐정 홍길동: 사라진 마을,2016-05-04,2016-05-24,20,10254
20142406,탐정 홍길동: 사라진 마을,2016-05-04,2016-05-25,21,4038
20142621,시간이탈자,2016-04-13,2016-05-11,28,1951
20142621,시간이탈자,2016-04-13,2016-04-28,15,16806
20142621,시간이탈자,2016-04-13,2016-04-29,16,23937
20142621,시간이탈자,2016-04-13,2016-05-10,27,4593
20142621,시간이탈자,2016-04-13,2016-05-07,24,5618
20142621,시간이탈자,2016-04-13,2016-05-02,19,12181
20142621,시간이탈자,2016-04-13,2016-05-03,20,15802
20142621,시간이탈자,2016-04-13,2016-05-06,23,8075
20142621,시간이탈자,2016-04-13,2016-05-04,21,7821
20142621,시간이탈자,2016-04-13,2016-05-05,22,7614
20142621,시간이탈자,2016-04-13,2016-05-08,25,4249
20142621,시간이탈자,2016-04-13,2016-04-27,14,24305
20142621,시간이탈자,2016-04-13,2016-04-30,17,33763
20142621,시간이탈자,2016-04-13,2016-05-09,26,3416
20142621,시간이탈자,2016-04-13,2016-05-01,18,28961
20144444,아가씨,2016-06-01,2016-06-16,15,64483
20144444,아가씨,2016-06-01,2016-06-24,23,44597
